,case:concept:name,concept:name,org:resource,time:timestamp,start time,seriousness,customer,product,seriousness_2,service_level,service_type,workgroup
14230,Case 3045,Closed,Value 5,2006-12-05 00:00:00+00:00,10:29.0,Value 1,Value 30,Value 2,Value 1,Value 3,Value 1,Value 1
14229,Case 3045,Resolve ticket,Value 1,2006-12-05 00:00:00+00:00,51:53.0,Value 1,Value 30,Value 2,Value 1,Value 3,Value 1,Value 1
14228,Case 3045,Take in charge ticket,Value 1,2006-12-05 00:00:00+00:00,31:15.0,Value 1,Value 30,Value 2,Value 1,Value 3,Value 1,Value 1
14227,Case 3045,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,09:58.0,Value 1,Value 30,Value 2,Value 1,Value 3,Value 1,Value 1
14226,Case 3044,Closed,Value 3,2006-12-05 00:00:00+00:00,05:33.0,Value 1,Value 197,Value 1,Value 2,Value 1,Value 1,Value 1
14225,Case 3044,Resolve ticket,Value 4,2006-12-05 00:00:00+00:00,05:15.0,Value 1,Value 197,Value 1,Value 2,Value 1,Value 1,Value 1
14223,Case 3044,Assign seriousness,Value 13,2006-12-05 00:00:00+00:00,18:37.0,Value 1,Value 197,Value 1,Value 2,Value 1,Value 1,Value 1
14224,Case 3044,Take in charge ticket,Value 13,2006-12-05 00:00:00+00:00,19:07.0,Value 1,Value 197,Value 1,Value 2,Value 1,Value 1,Value 1
14235,Case 3047,Assign seriousness,Value 1,2006-12-05 00:00:00+00:00,19:32.0,Value 1,Value 204,Value 2,Value 1,Value 2,Value 1,Value 1
14236,Case 3047,Take in charge ticket,Value 13,2006-12-05 00:00:00+00:00,20:25.0,Value 1,Value 204,Value 2,Value 1,Value 2,Value 1,Value 1
14253,Case 3050,Assign seriousness,Value 14,2006-12-05 00:00:00+00:00,40:12.0,Value 1,Value 200,Value 3,Value 2,Value 2,Value 1,Value 1
14252,Case 3050,Assign seriousness,Value 19,2006-12-05 00:00:00+00:00,50:57.0,Value 1,Value 200,Value 3,Value 2,Value 2,Value 1,Value 1
14251,Case 3049,Closed,Value 5,2006-12-05 00:00:00+00:00,26:14.0,Value 1,Value 22,Value 1,Value 1,Value 2,Value 1,Value 1
