case:concept:name,concept:name,amount,article,dismissal,expense,lastSent,lifecycle:transition,notificationType,org:resource,paymentAmount,points,time:timestamp,totalPaymentAmount,vehicleClass
N77802,Create Fine,35,157,NIL,,,complete,,537,,0,2005-03-23 00:00:00+01:00,0,A
N77802,Send Fine,,,,11,,complete,,,,,2005-07-22 00:00:00+02:00,,
A17641,Create Fine,36,157,NIL,,,complete,,541,,0,2007-07-14 00:00:00+02:00,0,A
A17641,Payment,,,,,,complete,,,36,,2007-07-16 00:00:00+02:00,36,
S106046,Create Fine,35,157,NIL,,,complete,,52,,0,2006-07-12 00:00:00+02:00,0,A
S106046,Send Fine,,,,11,,complete,,,,,2006-12-04 00:00:00+01:00,,
S106046,Insert Fine Notification,,,,,P,complete,P,,,,2006-12-25 00:00:00+01:00,,
S106046,Add penalty,71.5,,,,,complete,,,,,2007-02-23 00:00:00+01:00,,
S106046,Payment,,,,,,complete,,,49.25,,2007-05-28 00:00:00+02:00,49.25,
S106046,Payment,,,,,,complete,,,33.25,,2007-07-05 00:00:00+02:00,82.5,
N86044,Create Fine,35,157,NIL,,,complete,,541,,0,2005-10-30 00:00:00+02:00,0,A
N86044,Payment,,,,,,complete,,,35,,2005-11-10 00:00:00+01:00,35,
S57499,Create Fine,32,7,NIL,,,complete,,31,,0,2002-04-10 00:00:00+02:00,0,A
S57499,Send Fine,,,,10,,complete,,,,,2002-06-10 00:00:00+02:00,,
N67803,Create Fine,33.6,157,NIL,,,complete,,537,,0,2004-12-09 00:00:00+01:00,0,A
N67803,Send Fine,,,,11,,complete,,,,,2005-04-28 00:00:00+02:00,,
N67803,Insert Fine Notification,,,,,P,complete,P,,,,2005-05-06 00:00:00+02:00,,
N67803,Add penalty,68.77,,,,,complete,,,,,2005-07-05 00:00:00+02:00,,
N67803,Send for Credit Collection,,,,,,complete,,,,,2007-02-28 00:00:00+01:00,,
S73479,Create Fine,65,158,NIL,,,complete,,837,,0,2002-06-29 00:00:00+02:00,0,A
S73479,Send Fine,,,,10,,complete,,,,,2002-07-29 00:00:00+02:00,,
A23741,Create Fine,36,157,NIL,,,complete,,550,,0,2008-01-14 00:00:00+01:00,0,A
A23741,Send Fine,,,,13,,complete,,,,,2008-03-01 00:00:00+01:00,,
A23741,Insert Fine Notification,,,,,P,complete,P,,,,2008-03-20 00:00:00+01:00,,
A23741,Add penalty,74,,,,,complete,,,,,2008-05-19 00:00:00+02:00,,
A23741,Send for Credit Collection,,,,,,complete,,,,,2009-03-30 00:00:00+02:00,,
S59734,Create Fine,31.3,7,NIL,,,complete,,811,,0,2000-10-22 00:00:00+02:00,0,A
S59734,Send Fine,,,,6.71,,complete,,,,,2000-11-30 00:00:00+01:00,,
S59734,Insert Fine Notification,,,,,N,complete,P,,,,2001-01-08 00:00:00+01:00,,
S59734,Add penalty,62.59,,,,,complete,,,,,2001-03-09 00:00:00+01:00,,
S59734,Send for Credit Collection,,,,,,complete,,,,,2002-04-10 00:00:00+02:00,,
N55940,Create Fine,33.6,157,NIL,,,complete,,536,,0,2004-06-21 00:00:00+02:00,0,A
N55940,Payment,,,,,,complete,,,33.6,,2004-06-24 00:00:00+02:00,33.6,
A13415,Create Fine,22,7,NIL,,,complete,,550,,0,2007-09-12 00:00:00+02:00,0,A
A13415,Send Fine,,,,13,,complete,,,,,2007-12-27 00:00:00+01:00,,
