org:resource,case:concept:name,concept:name,time:timestamp,seriousness,customer,product,seriousness_2,service_level,service_type,workgroup,paymentAmount,points,totalPaymentAmount,vehicleClass
537,N77802,Create Fine,2005-03-23 00:00:00+01:00,35,157,NIL,,,complete,,,0,0,A
,N77802,Send Fine,2005-07-22 00:00:00+02:00,,,,11,,complete,,,,,
541,A17641,Create Fine,2007-07-14 00:00:00+02:00,36,157,NIL,,,complete,,,0,0,A
,A17641,Payment,2007-07-16 00:00:00+02:00,,,,,,complete,,36,,36,
52,S106046,Create Fine,2006-07-12 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,S106046,Send Fine,2006-12-04 00:00:00+01:00,,,,11,,complete,,,,,
,S106046,Insert Fine Notification,2006-12-25 00:00:00+01:00,,,,,P,complete,P,,,,
,S106046,Add penalty,2007-02-23 00:00:00+01:00,71.5,,,,,complete,,,,,
,S106046,Payment,2007-05-28 00:00:00+02:00,,,,,,complete,,49.25,,49.25,
,S106046,Payment,2007-07-05 00:00:00+02:00,,,,,,complete,,33.25,,82.5,
541,N86044,Create Fine,2005-10-30 00:00:00+02:00,35,157,NIL,,,complete,,,0,0,A
,N86044,Payment,2005-11-10 00:00:00+01:00,,,,,,complete,,35,,35,
31,S57499,Create Fine,2002-04-10 00:00:00+02:00,32,7,NIL,,,complete,,,0,0,A
,S57499,Send Fine,2002-06-10 00:00:00+02:00,,,,10,,complete,,,,,
537,N67803,Create Fine,2004-12-09 00:00:00+01:00,33.6,157,NIL,,,complete,,,0,0,A
,N67803,Send Fine,2005-04-28 00:00:00+02:00,,,,11,,complete,,,,,
,N67803,Insert Fine Notification,2005-05-06 00:00:00+02:00,,,,,P,complete,P,,,,
,N67803,Add penalty,2005-07-05 00:00:00+02:00,68.77,,,,,complete,,,,,
,N67803,Send for Credit Collection,2007-02-28 00:00:00+01:00,,,,,,complete,,,,,
837,S73479,Create Fine,2002-06-29 00:00:00+02:00,65,158,NIL,,,complete,,,0,0,A
,S73479,Send Fine,2002-07-29 00:00:00+02:00,,,,10,,complete,,,,,
550,A23741,Create Fine,2008-01-14 00:00:00+01:00,36,157,NIL,,,complete,,,0,0,A
,A23741,Send Fine,2008-03-01 00:00:00+01:00,,,,13,,complete,,,,,
,A23741,Insert Fine Notification,2008-03-20 00:00:00+01:00,,,,,P,complete,P,,,,
,A23741,Add penalty,2008-05-19 00:00:00+02:00,74,,,,,complete,,,,,
,A23741,Send for Credit Collection,2009-03-30 00:00:00+02:00,,,,,,complete,,,,,
811,S59734,Create Fine,2000-10-22 00:00:00+02:00,31.3,7,NIL,,,complete,,,0,0,A
,S59734,Send Fine,2000-11-30 00:00:00+01:00,,,,6.71,,complete,,,,,
,S59734,Insert Fine Notification,2001-01-08 00:00:00+01:00,,,,,N,complete,P,,,,
,S59734,Add penalty,2001-03-09 00:00:00+01:00,62.59,,,,,complete,,,,,
,S59734,Send for Credit Collection,2002-04-10 00:00:00+02:00,,,,,,complete,,,,,
536,N55940,Create Fine,2004-06-21 00:00:00+02:00,33.6,157,NIL,,,complete,,,0,0,A
,N55940,Payment,2004-06-24 00:00:00+02:00,,,,,,complete,,33.6,,33.6,
550,A13415,Create Fine,2007-09-12 00:00:00+02:00,22,7,NIL,,,complete,,,0,0,A
,A13415,Send Fine,2007-12-27 00:00:00+01:00,,,,13,,complete,,,,,
561,A43678,Create Fine,2009-06-30 00:00:00+02:00,38,157,NIL,,,complete,,,0,0,A
,A43678,Send Fine,2009-09-25 00:00:00+02:00,,,,13.5,,complete,,,,,
,A43678,Insert Fine Notification,2009-10-01 00:00:00+02:00,,,,,P,complete,P,,,,
,A43678,Add penalty,2009-11-30 00:00:00+01:00,77.5,,,,,complete,,,,,
